partition,repeat,method,lambda_subset,mae,rmse,median_absolute_error,fraction_with_absolute_error_below_0p2,n,mae_vs_pimd8
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p5_0p9,1.3266191768098876,1.6794238897662923,1.1949894390276903,0.16666666666666666,72,1.3705854613971447
standardized_exclusion_repeat,1,P1-E_actual_integral_affine,0p1_0p5_0p9,1.3929085129392011,1.7368556733331246,1.352888330812274,0.09722222222222222,72,1.406753881008043
standardized_exclusion_repeat,1,P1-F_generic_posterior_integral_affine,0p1,1.2540383584259243,1.6270161365443678,0.8895482030541716,0.1527777777777778,72,1.2496875927480136
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior_integral_affine,0p1,1.0212917838545421,1.377488997161242,0.7404494890828494,0.16666666666666666,72,1.0343472587881823
standardized_exclusion_repeat,1,P1-F_generic_posterior_integral_affine,0p5,2.633644824853141,3.1917406025863913,2.21801155334294,0.041666666666666664,72,2.6095656581864746
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior_integral_affine,0p5,1.7318450849933986,2.1333936477550015,1.5862477127199641,0.08333333333333333,72,1.7647380797260908
standardized_exclusion_repeat,1,P1-F_generic_posterior_integral_affine,0p9,2.610021918270737,3.1908349758163213,1.9314697614491236,0.05555555555555555,72,2.5950066404929593
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior_integral_affine,0p9,1.5239457028874364,1.9787985809105095,1.3033495562783566,0.1111111111111111,72,1.5276244309088536
standardized_exclusion_repeat,1,P1-F_generic_posterior_integral_affine,0p1_0p5,1.659670861210319,2.051390605779903,1.4985218673791423,0.1111111111111111,72,1.6496479185018809
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p5,1.3011675687293993,1.5783544136570777,1.1438747620670697,0.06944444444444445,72,1.297989368412053
standardized_exclusion_repeat,1,P1-F_generic_posterior_integral_affine,0p1_0p9,0.9642951299238018,1.2669601355254871,0.8160901595054773,0.16666666666666666,72,0.995147215094662
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p9,1.0988014216162574,1.4185982368392558,0.9147207985207539,0.125,72,1.1084856747994245
standardized_exclusion_repeat,1,P1-F_generic_posterior_integral_affine,0p5_0p9,2.651387340884865,3.2255305259526312,2.3769997002314023,0.08333333333333333,72,2.636192725314033
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior_integral_affine,0p5_0p9,1.7162800118142407,2.1967084799066967,1.40254734391341,0.06944444444444445,72,1.7627048684490652
standardized_exclusion_repeat,1,P1-F_generic_posterior_integral_affine,0p1_0p5_0p9,1.3595599009036567,1.6874204038973601,1.2108803696909987,0.08333333333333333,72,1.366076436323422
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p5_0p9,1.3033251514278652,1.6117094381699617,1.1923620368020797,0.125,72,1.320074470077054
standardized_exclusion_repeat,2,P1-E_actual_integral_affine,0p1_0p5_0p9,1.453467126118457,1.7906458289200666,1.2298435591424708,0.06944444444444445,72,1.4715218217106458
standardized_exclusion_repeat,2,P1-F_generic_posterior_integral_affine,0p1,1.2823392133735103,1.6671135614462818,0.9486787533173986,0.1527777777777778,72,1.2721248881938922
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior_integral_affine,0p1,1.0818031303290048,1.4499292512833035,0.8000478716681594,0.06944444444444445,72,1.101742108502718
standardized_exclusion_repeat,2,P1-F_generic_posterior_integral_affine,0p5,2.657498782900942,3.20091041742699,2.342002656130994,0.027777777777777776,72,2.6313001717898308
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior_integral_affine,0p5,1.7962463610699058,2.196006497417171,1.5617387364194553,0.041666666666666664,72,1.8262563290819154
standardized_exclusion_repeat,2,P1-F_generic_posterior_integral_affine,0p9,2.6315698587592737,3.197504204320615,2.0601055361260956,0.05555555555555555,72,2.6137684698703847
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior_integral_affine,0p9,1.5022485113590451,2.0001276007646913,1.088992545388727,0.05555555555555555,72,1.5391669190834003
standardized_exclusion_repeat,2,P1-F_generic_posterior_integral_affine,0p1_0p5,1.7102244249714704,2.105148036322299,1.6616324556185185,0.1111111111111111,72,1.7033029329493563
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p5,1.361676588562825,1.6626096502660053,1.3301212139469532,0.08333333333333333,72,1.3720296165717631
standardized_exclusion_repeat,2,P1-F_generic_posterior_integral_affine,0p1_0p9,0.9782091206030602,1.2897107886344952,0.8454485839227234,0.1527777777777778,72,0.9970870947895336
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p9,1.1565646588374934,1.4806743035611103,1.0432254676526238,0.1388888888888889,72,1.151547978289586
standardized_exclusion_repeat,2,P1-F_generic_posterior_integral_affine,0p5_0p9,2.66255129781735,3.191374955764023,2.3170272940799785,0.027777777777777776,72,2.6369741981790895
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior_integral_affine,0p5_0p9,1.7545837044089607,2.2152343776029397,1.5219217395732183,0.09722222222222222,72,1.7969010514846115
standardized_exclusion_repeat,2,P1-F_generic_posterior_integral_affine,0p1_0p5_0p9,1.4099099281230876,1.7369919463178378,1.202337273928216,0.08333333333333333,72,1.415328943645172
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p5_0p9,1.358110034770533,1.6725545533695398,1.1692701610126282,0.09722222222222222,72,1.3754524422788639
standardized_exclusion_repeat,3,P1-E_actual_integral_affine,0p1_0p5_0p9,1.4082679679736456,1.7710027504950436,1.3474749733044122,0.1111111111111111,72,1.4202103456614272
standardized_exclusion_repeat,3,P1-F_generic_posterior_integral_affine,0p1,1.2841598335653719,1.6546963806550026,0.9584003666857493,0.1388888888888889,72,1.2735505909864588
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior_integral_affine,0p1,1.0788231698245143,1.4137737958518408,0.7606569706097988,0.1111111111111111,72,1.0922410548444992
standardized_exclusion_repeat,3,P1-F_generic_posterior_integral_affine,0p5,2.696229268655409,3.281492285032071,2.141990637628227,0.05555555555555555,72,2.6728167686554087
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior_integral_affine,0p5,1.7682703382995664,2.216695897561774,1.5215115481238561,0.08333333333333333,72,1.8019221496229874
standardized_exclusion_repeat,3,P1-F_generic_posterior_integral_affine,0p9,2.673761689010677,3.2260463816853364,2.2384349528785727,0.013888888888888888,72,2.659308846769905
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior_integral_affine,0p9,1.5739893968648306,1.9950039261722117,1.275307694780147,0.06944444444444445,72,1.5888910580167908
standardized_exclusion_repeat,3,P1-F_generic_posterior_integral_affine,0p1_0p5,1.7224455074974516,2.1479835016666606,1.6797168979303878,0.1527777777777778,72,1.724518875415804
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p5,1.334372140689967,1.6668407462561001,1.157122345878848,0.1111111111111111,72,1.3425423074245968
standardized_exclusion_repeat,3,P1-F_generic_posterior_integral_affine,0p1_0p9,0.967374518899441,1.255819756551142,0.8292509569850172,0.1527777777777778,72,0.9936655287573354
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p9,1.152933219120126,1.4299714427920158,1.0658534238253647,0.09722222222222222,72,1.1502318887976903
standardized_exclusion_repeat,3,P1-F_generic_posterior_integral_affine,0p5_0p9,2.695867030254053,3.276454026983548,2.125297206144632,0.06944444444444445,72,2.6724545302540523
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior_integral_affine,0p5_0p9,1.749772589888365,2.255481483999261,1.4586752982834703,0.06944444444444445,72,1.7961601780396654
standardized_exclusion_repeat,3,P1-F_generic_posterior_integral_affine,0p1_0p5_0p9,1.378984508428662,1.7333754206442487,1.1806718618979404,0.09722222222222222,72,1.3844393453475161
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p5_0p9,1.3253106559086052,1.6832779413956662,1.1821272541129086,0.18055555555555555,72,1.3478965912552152
standardized_exclusion_repeat,4,P1-E_actual_integral_affine,0p1_0p5_0p9,1.4507210472568906,1.8016164257637375,1.361426260070341,0.1527777777777778,72,1.483811842507337
standardized_exclusion_repeat,4,P1-F_generic_posterior_integral_affine,0p1,1.2697852788911956,1.6545411758229294,0.9284447956818794,0.1388888888888889,72,1.278467543262432
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior_integral_affine,0p1,1.079165899582341,1.480544663546461,0.630864201165559,0.06944444444444445,72,1.1105118161286496
standardized_exclusion_repeat,4,P1-F_generic_posterior_integral_affine,0p5,2.680500303781938,3.227553012717565,2.2905894140069036,0.041666666666666664,72,2.658766045959327
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior_integral_affine,0p5,1.864029111405303,2.2961232783272942,1.6557151288174592,0.041666666666666664,72,1.878183715582087
