partition,repeat,trajectory_fraction,lambda,component,n,mae
standardized_exclusion_repeat,1,0.2,0.1,van_der_waals,72,5.749635949721547
standardized_exclusion_repeat,1,0.2,0.1,van_der_waals_softcore,72,2.0308308424189425
standardized_exclusion_repeat,1,0.2,0.5,coulomb,72,4.417112463668164
standardized_exclusion_repeat,1,0.2,0.5,coulomb_softcore,72,2.541419738284846
standardized_exclusion_repeat,1,0.2,0.5,long_range_correction,72,0.06522411163240906
standardized_exclusion_repeat,1,0.2,0.5,pme,72,0.18540591201634374
standardized_exclusion_repeat,1,0.2,0.5,total,72,2.702056178318931
standardized_exclusion_repeat,1,0.2,0.5,van_der_waals,72,4.122925609631685
standardized_exclusion_repeat,1,0.2,0.5,van_der_waals_softcore,72,0.9442296610103411
standardized_exclusion_repeat,1,0.2,0.9,coulomb,72,6.35312265446823
standardized_exclusion_repeat,1,0.2,0.9,coulomb_softcore,72,1.203986250219736
standardized_exclusion_repeat,1,0.2,0.9,long_range_correction,72,0.012999063374467375
standardized_exclusion_repeat,1,0.2,0.9,pme,72,0.040687758977161724
standardized_exclusion_repeat,1,0.2,0.9,total,72,5.731219419225631
standardized_exclusion_repeat,1,0.2,0.9,van_der_waals,72,1.8221435290600836
standardized_exclusion_repeat,1,0.2,0.9,van_der_waals_softcore,72,0.15585348712115113
standardized_exclusion_repeat,1,0.4,0.1,coulomb,72,5.420827830876418
standardized_exclusion_repeat,1,0.4,0.1,coulomb_softcore,72,3.823410000362239
standardized_exclusion_repeat,1,0.4,0.1,long_range_correction,72,0.10975905803520156
standardized_exclusion_repeat,1,0.4,0.1,pme,72,0.5148523703719107
standardized_exclusion_repeat,1,0.4,0.1,total,72,4.463606195894304
standardized_exclusion_repeat,1,0.4,0.1,van_der_waals,72,5.5842240416679685
standardized_exclusion_repeat,1,0.4,0.1,van_der_waals_softcore,72,1.9179137529307642
standardized_exclusion_repeat,1,0.4,0.5,coulomb,72,4.736583444197628
standardized_exclusion_repeat,1,0.4,0.5,coulomb_softcore,72,2.730585625172983
standardized_exclusion_repeat,1,0.4,0.5,long_range_correction,72,0.061263386670560194
standardized_exclusion_repeat,1,0.4,0.5,pme,72,0.18683580367425978
standardized_exclusion_repeat,1,0.4,0.5,total,72,2.9863091639617547
standardized_exclusion_repeat,1,0.4,0.5,van_der_waals,72,4.1682988293379735
standardized_exclusion_repeat,1,0.4,0.5,van_der_waals_softcore,72,0.9727257640635193
standardized_exclusion_repeat,1,0.4,0.9,coulomb,72,5.248021275561448
