partition,repeat,split_seed,method,lambda_subset,response_scope,trajectory_fraction,shuffle_seed,mae,rmse,median_absolute_error,fraction_with_absolute_error_below_0p2,n
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p9,total,1.0,,0.1903719872385866,0.3043528857899563,0.10373473775192066,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p5_0p9,total,1.0,,0.19461758891465233,0.2978727031786425,0.12370503313724654,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p5_0p9,total,1.0,,0.19253361552558024,0.3009767212745257,0.11633718355907385,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p5_0p9,total,1.0,,0.1942562565764656,0.3038309176978559,0.11704215625163839,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5_0p9,total,1.0,,0.19705541840771218,0.30210794340129443,0.11747442483109893,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5_0p9,total,1.0,,0.19344304057401773,0.3025036491421432,0.11540234689136586,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,1.0,,0.19157319278113236,0.3049522578389282,0.11120174184021936,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1,components,1.0,,0.19462738750323805,0.3000540656319928,0.11750154246105732,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1,components,1.0,,0.19053348901800773,0.29708758537253194,0.11428031978729758,0.7361111111111112,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1,components,1.0,,0.19702393896282935,0.30273019951817703,0.11482390752189187,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p5,components,1.0,,0.19489892022374436,0.3021716269415417,0.1190151250169906,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p5,components,1.0,,0.1887112226408304,0.29436105593600753,0.11035880733809278,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p5,components,1.0,,0.19225772709150432,0.3064239339646092,0.11489561996174413,0.75,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p9,components,1.0,,0.19519878929579954,0.2999071959429526,0.12183586477693478,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p9,components,1.0,,0.19735972956784048,0.3039498333553339,0.11796152331454013,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p9,components,1.0,,0.19204297515584137,0.3029242003856018,0.11221718782314205,0.7083333333333334,72
