partition,repeat,posterior,lambda_subset,n,mae,rmse,coverage_50,coverage_80,coverage_90,coverage_95,mean_width_95
standardized_exclusion_repeat,4,P1-F_generic_posterior,0p1_0p9,72,2.5383987594652764,3.0221958205699515,0.5416666666666666,0.875,0.9722222222222222,1.0,14.497637451364792
standardized_exclusion_repeat,4,P1-F_generic_posterior,0p5,144,8.238834669761847,10.405605924363513,0.4722222222222222,0.7569444444444444,0.9027777777777778,0.9513888888888888,38.1772659341646
standardized_exclusion_repeat,4,P1-F_generic_posterior,0p5_0p9,72,10.521949645764176,12.63920902890307,0.4166666666666667,0.7638888888888888,0.9027777777777778,0.9583333333333334,47.303807104522576
standardized_exclusion_repeat,4,P1-F_generic_posterior,0p9,144,6.751986935139215,9.527915112571188,0.4791666666666667,0.7847222222222222,0.9375,0.9791666666666666,31.634274006115618
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior,0p1,144,3.0311092934095973,3.8564561234500494,0.5416666666666666,0.8541666666666666,0.9305555555555556,0.9652777777777778,16.18117508958727
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior,0p1_0p5,72,3.6502557528818804,4.644602577276202,0.5416666666666666,0.8055555555555556,0.8888888888888888,0.9305555555555556,18.601310420219207
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior,0p1_0p9,72,2.3915597571502385,2.8219153654814417,0.5555555555555556,0.8888888888888888,0.9722222222222222,1.0,13.682574346461601
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior,0p5,144,4.364774196651748,5.576982138627096,0.5486111111111112,0.8472222222222222,0.9166666666666666,0.9583333333333334,23.63038973125748
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior,0p5_0p9,72,5.130556291141247,6.500546023228194,0.5416666666666666,0.8611111111111112,0.9166666666666666,0.9444444444444444,28.363210022828262
standardized_exclusion_repeat,4,P1-F_solvai_conditioned_posterior,0p9,144,3.7465380445310665,5.002005745136594,0.5486111111111112,0.8819444444444444,0.9444444444444444,0.9722222222222222,21.08679210843432
