role,molecule_name,lambda,frames,mean_dhdl_kcal_mol_recomputed,five_block_sem_kcal_mol_recomputed,energy_sha256,component_sum_max_abs_difference,ti_point,existing_observation
prospective,Acetamide,0.6,51,0.9884395604672546,1.211892446686172,e14823afcab109ab91dca04c7a04908f522debf24fa0145eacdecb1b21852349,1.4300027828539896e-09,7,False
prospective,Acetamide,0.7,51,-7.09352210363406,2.875614668749374,f89953072decbfe2d9d7870c3b410b6bcc33f1f018e03154b6241e00023c989a,1.2499956625333652e-09,8,False
prospective,Acetamide,0.75,51,-25.24360608155902,4.319504473927738,1f3a73c9d84a792bc37e29c6bc8b108d77780fe305da5aca7f7315cc3d1e81bf,1.3400018872289365e-09,9,False
prospective,Acetamide,0.8,51,-11.04782330983745,2.4045506533287053,b09620f3d6361023b6f7a3e9e486044df3b12ae70c89d4621b3d3fd912e26d01,1.0589964460905321e-09,10,False
prospective,Acetamide,0.85,51,-17.07148865708706,3.7244125976791556,fd1379dcc840b8dbaa29fa7975015afc335d2131f9384a3a8c2eb5db44429893,9.949978618806199e-10,11,False
prospective,Acetamide,0.9,51,-6.708513911389412,1.9425669122131857,5659efbd37276d52a33e1a81d894e28bf6efa1b529aaa2d4e190facf40e33c40,6.129976526381142e-10,12,True
prospective,Acetamide,0.95,51,-5.074045890061961,0.7881330381839707,ce51458c124fb7e609f8c4cd4cac8b1f43d5af67f535d658e53ba43f193711f4,7.540013058360273e-10,13,False
prospective,Acetamide,1.0,51,0.0,0.0,65ee421236187decf6615858992920c208106dc52f41ce3a37e160ea38642e7b,0.0,14,False
prospective,AceticAcid,0.0,51,60.36174530005882,4.931429962285801,cf8ee675a34eec47daaff8a1881bfb34429cba45d698d3fee05117fa5f7ea014,1.229992108164879e-09,0,False
prospective,AceticAcid,0.05,51,45.21107955310392,2.2865341523806335,be4443233aef02a79b1e6da8126de261c2e07b85ff6d8244a8aba6cc3feb2f0c,1.389999226830696e-09,1,False
prospective,AceticAcid,0.1,51,40.947200291196076,2.7434052172229757,dd63b628fde4fabef7b651f7b5c0d498a4575115aedaefa621c6a818d20cf543,1.3999965631228406e-09,2,True
prospective,AceticAcid,0.2,51,21.619708209945095,1.9523568746958835,ebca77a1f483e847d5cf50c0a14aa94f98bdb8d002a0147a68e9a7074b9b4851,1.2100009882942686e-09,3,False
prospective,AceticAcid,0.3,51,14.53986529120392,0.678582393005981,9fd456ed7eb2f4c43ed034c9c5cd864ba2f8b0064b4ae040526dbbec27c5c827,1.3699956724622098e-09,4,False
prospective,AceticAcid,0.4,51,6.844971431492156,0.6607594596826651,5bfe559fa0bb13e6122e1140d3918f64a5b53643576a2a43740a6720e159e3f5,8.800000728115265e-10,5,False
prospective,AceticAcid,0.5,51,4.467595228930009,1.6337700881686288,3c351f7e9cca424e345fd520871c24050c4bd21fbf37c762a95f893dc364d38c,8.600036238703979e-10,6,True
prospective,AceticAcid,0.6,51,-1.1610933237120982,1.3456626696788159,9c667ca557fe1c063beb8d2223711d7e94ab852de2decd60b100beb395269e47,1.1199983163123761e-09,7,False
prospective,AceticAcid,0.7,51,0.44152815859470607,0.7920273797586617,743391bdd684837e57088c7139eefe402939b4356aae1596c53e62617c3f6391,8.899988523936031e-10,8,False
