prefix_ps,stabilizer,model,mae,rmse,mean_within_molecule_spearman,top_quartile_auroc
2.0,0.5,solvai_conditioned_shuffled_88033,1.3334794096636198,1.6606472967692045,0.25386904761904755,0.5994318181818181
2.0,0.5,solvai_conditioned_shuffled_88034,1.310009843227706,1.6122491738293723,0.24404761904761904,0.6063762626262627
2.0,0.5,solvai_conditioned_shuffled_88035,1.3356730714907727,1.6509351360092013,0.2586309523809523,0.5901199494949495
2.0,0.5,structure_cold_start,1.4389128607583024,1.7116449899840307,0.23035714285714282,0.5954861111111112
2.0,0.5,structure_conditioned,1.2957982742280028,1.6045898175426383,0.3020833333333333,0.6068497474747474
3.0,0.1,generic_observed,1.5440537775177454,1.9807263221827351,0.35476190476190467,0.6950757575757576
3.0,0.1,lambda_protocol,1.712794859666909,2.1505038316976095,0.2220238095238095,0.5689709595959596
3.0,0.1,solvai_cold_start,1.8738269961781562,2.3057273211385088,0.14464285714285713,0.579229797979798
3.0,0.1,solvai_conditioned,1.560182837481418,1.9718325664001686,0.3395833333333333,0.6655618686868687
3.0,0.1,solvai_conditioned_shuffled_88031,1.5489081319157447,1.9552276843096088,0.369345238095238,0.6729797979797979
3.0,0.1,solvai_conditioned_shuffled_88032,1.5378479962864475,1.9494767643487767,0.38779761904761895,0.6742424242424243
3.0,0.1,solvai_conditioned_shuffled_88033,1.6286446592125685,2.1032938030497923,0.287797619047619,0.6327335858585859
3.0,0.1,solvai_conditioned_shuffled_88034,1.5348051260062416,1.954434002449631,0.35505952380952377,0.6717171717171718
3.0,0.1,solvai_conditioned_shuffled_88035,1.5837197758175636,2.012496568267047,0.35327380952380943,0.6725063131313131
3.0,0.1,structure_cold_start,1.825167415694594,2.220999329304965,0.19107142857142856,0.5879103535353536
3.0,0.1,structure_conditioned,1.5237612956951478,1.9417635401675992,0.36934523809523806,0.6600378787878788
3.0,0.25,generic_observed,1.443895770469726,1.7989450050454812,0.35446428571428573,0.6994949494949494
3.0,0.25,lambda_protocol,1.5470045220140909,1.8890134844613589,0.25029761904761905,0.585385101010101
3.0,0.25,solvai_cold_start,1.6757491582176909,2.0303314293537955,0.14672619047619045,0.5891729797979799
3.0,0.25,solvai_conditioned,1.4599923477804073,1.7992978655094323,0.35595238095238085,0.671875
3.0,0.25,solvai_conditioned_shuffled_88031,1.4346937989648785,1.7653085529453743,0.3678571428571428,0.6961805555555556
3.0,0.25,solvai_conditioned_shuffled_88032,1.4421773278724836,1.7816190568902657,0.39345238095238083,0.6781881313131314
3.0,0.25,solvai_conditioned_shuffled_88033,1.525061185949074,1.9264970791089677,0.29910714285714285,0.6314709595959596
3.0,0.25,solvai_conditioned_shuffled_88034,1.4345701429361093,1.7832697729065703,0.35833333333333334,0.6742424242424243
3.0,0.25,solvai_conditioned_shuffled_88035,1.4693008084030055,1.8294885030599366,0.34851190476190474,0.672506313131313
3.0,0.25,structure_cold_start,1.6475842915799097,1.9696662299161978,0.19791666666666663,0.5885416666666667
3.0,0.25,structure_conditioned,1.422677779755359,1.773718402058789,0.3800595238095237,0.664614898989899
3.0,0.5,generic_observed,1.2939807528710592,1.5809227568011528,0.368452380952381,0.696969696969697
3.0,0.5,lambda_protocol,1.3591984161282715,1.6467750172131874,0.256845238095238,0.5973800505050505
3.0,0.5,solvai_cold_start,1.4545664400602776,1.7579136015191998,0.19672619047619044,0.599905303030303
3.0,0.5,solvai_conditioned,1.331381686087858,1.6066977982049213,0.37380952380952376,0.6788194444444445
3.0,0.5,solvai_conditioned_shuffled_88031,1.3019358089550133,1.5731481243098548,0.37827380952380946,0.6846590909090909
3.0,0.5,solvai_conditioned_shuffled_88032,1.324746428667437,1.6008625262568639,0.38779761904761906,0.6652462121212122
3.0,0.5,solvai_conditioned_shuffled_88033,1.370964528980706,1.7043599878320914,0.31190476190476185,0.6392045454545454
3.0,0.5,solvai_conditioned_shuffled_88034,1.3045238840133218,1.5880547180499052,0.36636904761904754,0.6740845959595959
3.0,0.5,solvai_conditioned_shuffled_88035,1.3185055300378505,1.6134191783838538,0.34821428571428564,0.6755050505050505
3.0,0.5,structure_cold_start,1.4389128607583024,1.7116449899840307,0.23035714285714282,0.5954861111111112
