n_molecules,production_ps_per_stream_window,reference_threshold_kcal_mol,reliability_probability,median_cohort_q90_kcal_mol,q90_of_cohort_q90_kcal_mol
80,50,0.11144982433475654,0.0,0.8283399581499817,0.9030476734110237
80,100,0.11144982433475654,0.0,0.5857248015356331,0.6385511336036696
80,200,0.11144982433475654,0.0,0.41416997907499087,0.4515238367055118
80,500,0.11144982433475654,0.0,0.26194409446824973,0.28556874836947105
80,1000,0.11144982433475654,2e-05,0.185222445490269,0.20192759846700783
80,1500,0.11144982433475654,0.00062,0.15123349345387677,0.16487319374325865
80,2000,0.11144982433475654,0.06706,0.13097204723412487,0.14278437418473552
80,3000,0.11144982433475654,0.77838,0.1069382287637676,0.11658295333174164
80,4000,0.11144982433475654,0.99366,0.0926112227451345,0.10096379923350392
80,5000,0.11144982433475654,0.99366,0.08283399581499817,0.09030476734110236
96,20,0.11144982433475654,0.0,1.3097204723412488,1.4278437418473555
96,50,0.11144982433475654,0.0,0.8283399581499817,0.9030476734110237
96,100,0.11144982433475654,0.0,0.5857248015356331,0.6385511336036696
96,200,0.11144982433475654,0.0,0.41416997907499087,0.4515238367055118
96,500,0.11144982433475654,0.0,0.26194409446824973,0.28556874836947105
96,1000,0.11144982433475654,0.0,0.185222445490269,0.20192759846700783
96,1500,0.11144982433475654,0.00032,0.15123349345387677,0.16487319374325865
96,2000,0.11144982433475654,0.03064,0.13097204723412487,0.14278437418473552
96,3000,0.11144982433475654,0.72568,0.1069382287637676,0.11658295333174164
96,4000,0.11144982433475654,0.99328,0.0926112227451345,0.10096379923350392
96,5000,0.11144982433475654,0.99792,0.08283399581499817,0.09030476734110236
128,20,0.11144982433475654,0.0,1.3097204723412488,1.4278437418473555
128,50,0.11144982433475654,0.0,0.8283399581499817,0.9030476734110237
128,100,0.11144982433475654,0.0,0.5857248015356331,0.6385511336036696
128,200,0.11144982433475654,0.0,0.41416997907499087,0.4515238367055118
128,500,0.11144982433475654,0.0,0.26194409446824973,0.28556874836947105
128,1000,0.11144982433475654,0.0,0.185222445490269,0.20192759846700783
128,1500,0.11144982433475654,4e-05,0.15123349345387677,0.16487319374325865
128,2000,0.11144982433475654,0.0141,0.13097204723412487,0.14278437418473552
128,3000,0.11144982433475654,0.82074,0.1069382287637676,0.11658295333174164
128,4000,0.11144982433475654,0.99722,0.0926112227451345,0.10096379923350392
128,5000,0.11144982433475654,0.99922,0.08283399581499817,0.09030476734110236
160,20,0.11144982433475654,0.0,1.3097204723412488,1.4278437418473555
160,50,0.11144982433475654,0.0,0.8283399581499817,0.9030476734110237
160,100,0.11144982433475654,0.0,0.5857248015356331,0.6385511336036696
160,200,0.11144982433475654,0.0,0.41416997907499087,0.4515238367055118
160,500,0.11144982433475654,0.0,0.26194409446824973,0.28556874836947105
160,1000,0.11144982433475654,0.0,0.185222445490269,0.20192759846700783
160,1500,0.11144982433475654,0.0,0.15123349345387677,0.16487319374325865
160,2000,0.11144982433475654,0.01122,0.13097204723412487,0.14278437418473552
160,3000,0.11144982433475654,0.82192,0.1069382287637676,0.11658295333174164
160,4000,0.11144982433475654,0.99974,0.0926112227451345,0.10096379923350392
160,5000,0.11144982433475654,0.99974,0.08283399581499817,0.09030476734110236
192,20,0.11144982433475654,0.0,1.3097204723412488,1.4278437418473555
192,50,0.11144982433475654,0.0,0.8283399581499817,0.9030476734110237
192,100,0.11144982433475654,0.0,0.5857248015356331,0.6385511336036696
192,200,0.11144982433475654,0.0,0.41416997907499087,0.4515238367055118
192,500,0.11144982433475654,0.0,0.26194409446824973,0.28556874836947105
192,1000,0.11144982433475654,0.0,0.185222445490269,0.20192759846700783
192,1500,0.11144982433475654,0.0,0.15123349345387677,0.16487319374325865
192,2000,0.11144982433475654,0.00572,0.13097204723412487,0.14278437418473552
192,3000,0.11144982433475654,0.82106,0.1069382287637676,0.11658295333174164
192,4000,0.11144982433475654,0.99994,0.0926112227451345,0.10096379923350392
192,5000,0.11144982433475654,0.99994,0.08283399581499817,0.09030476734110236
256,20,0.11144982433475654,0.0,1.3097204723412488,1.4278437418473555
256,50,0.11144982433475654,0.0,0.8283399581499817,0.9030476734110237
256,100,0.11144982433475654,0.0,0.5857248015356331,0.6385511336036696
256,200,0.11144982433475654,0.0,0.41416997907499087,0.4515238367055118
256,500,0.11144982433475654,0.0,0.26194409446824973,0.28556874836947105
256,1000,0.11144982433475654,0.0,0.185222445490269,0.20192759846700783
256,1500,0.11144982433475654,0.0,0.15123349345387677,0.16487319374325865
256,2000,0.11144982433475654,0.00114,0.13097204723412487,0.14278437418473552
256,3000,0.11144982433475654,0.82704,0.1069382287637676,0.11658295333174164
256,4000,0.11144982433475654,0.99998,0.0926112227451345,0.10096379923350392
256,5000,0.11144982433475654,1.0,0.08283399581499817,0.09030476734110236
