n_molecules,production_ps_per_stream_window,streams,lambda_windows,power_budget5,power_budget7,type1_budget5,type1_budget7,reference_reliability_probability,production_total_ps,projected_production_gpu_hours,operational_reservation_gpu_hours,numerically_adequate
160,2000,2,15,0.99062,0.63788,0.0294,0.0292,0.01122,9600000,25952.819936091182,28807.630129061214,False
160,3000,2,15,0.99062,0.63788,0.0294,0.0292,0.82192,14400000,38929.22990413677,43211.44519359182,False
160,4000,2,15,0.99062,0.63788,0.0294,0.0292,0.99974,19200000,51905.639872182364,57615.26025812243,False
160,5000,2,15,0.99062,0.63788,0.0294,0.0292,0.99974,24000000,64882.049840227955,72019.07532265304,False
192,20,2,15,0.99662,0.71402,0.02808,0.02922,0.0,115200,311.4338392330942,345.69156154873457,False
192,50,2,15,0.99662,0.71402,0.02808,0.02922,0.0,288000,778.5845980827355,864.2289038718365,False
192,100,2,15,0.99662,0.71402,0.02808,0.02922,0.0,576000,1557.169196165471,1728.457807743673,False
192,200,2,15,0.99662,0.71402,0.02808,0.02922,0.0,1152000,3114.338392330942,3456.915615487346,False
192,500,2,15,0.99662,0.71402,0.02808,0.02922,0.0,2880000,7785.845980827355,8642.289038718365,False
192,1000,2,15,0.99662,0.71402,0.02808,0.02922,0.0,5760000,15571.69196165471,17284.57807743673,False
192,1500,2,15,0.99662,0.71402,0.02808,0.02922,0.0,8640000,23357.537942482064,25926.867116155092,False
192,2000,2,15,0.99662,0.71402,0.02808,0.02922,0.00572,11520000,31143.38392330942,34569.15615487346,False
192,3000,2,15,0.99662,0.71402,0.02808,0.02922,0.82106,17280000,46715.07588496413,51853.734232310184,False
192,4000,2,15,0.99662,0.71402,0.02808,0.02922,0.99994,23040000,62286.76784661884,69138.31230974692,False
192,5000,2,15,0.99662,0.71402,0.02808,0.02922,0.99994,28800000,77858.45980827355,86422.89038718364,False
256,20,2,15,0.99974,0.8297,0.02888,0.02858,0.0,153600,415.2451189774589,460.9220820649794,False
256,50,2,15,0.99974,0.8297,0.02888,0.02858,0.0,384000,1038.1127974436472,1152.3052051624486,False
256,100,2,15,0.99974,0.8297,0.02888,0.02858,0.0,768000,2076.2255948872944,2304.610410324897,False
256,200,2,15,0.99974,0.8297,0.02888,0.02858,0.0,1536000,4152.451189774589,4609.220820649794,False
256,500,2,15,0.99974,0.8297,0.02888,0.02858,0.0,3840000,10381.127974436473,11523.052051624485,False
256,1000,2,15,0.99974,0.8297,0.02888,0.02858,0.0,7680000,20762.255948872946,23046.10410324897,False
256,1500,2,15,0.99974,0.8297,0.02888,0.02858,0.0,11520000,31143.38392330942,34569.15615487346,False
256,2000,2,15,0.99974,0.8297,0.02888,0.02858,0.00114,15360000,41524.51189774589,46092.20820649794,False
256,3000,2,15,0.99974,0.8297,0.02888,0.02858,0.82704,23040000,62286.76784661884,69138.31230974692,True
256,4000,2,15,0.99974,0.8297,0.02888,0.02858,0.99998,30720000,83049.02379549178,92184.41641299588,True
256,5000,2,15,0.99974,0.8297,0.02888,0.02858,1.0,38400000,103811.27974436473,115230.52051624485,True
